condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
modiso__gpt-oss-120b__t00__r01,modiso,gpt-oss-120b,0,1,0.0273,0.2576,0.5136,0.6288,0.50140760242939,0.2770367722426142,-0.02101833857112117,0.07818571428571429,0.0071370129870129825,0.4988557385569063,0.7079759240150452,0.6960541009902954,0.5608552631578947,0.47504621072088726,0.4116623150565709
modiso__gpt-oss-120b__t00__r02,modiso,gpt-oss-120b,0,2,0.0255,0.3942,0.5128,0.6971,0.4758510712534189,0.4016971087881497,-0.01359971237260025,0.26309047619047615,-0.008088051948051945,0.5111614896299659,0.6884625554084778,0.6677663326263428,0.5871886120996441,0.5136612021857924,0.4446444644464446
modiso__gpt-oss-120b__t00__r03,modiso,gpt-oss-120b,0,3,0.0983,0.1935,0.5491,0.5968,0.5042641222476959,0.26733111483710154,-0.01920124660064647,0.3154809523809525,0.0034014285714285657,0.48124826245232166,0.7057401537895203,0.7686078548431396,0.5789473684210527,0.48096192384769537,0.43106617647058826
modiso__gpt-oss-120b__t01__r01,modiso,gpt-oss-120b,1,1,0.1522,0.3028,0.5761,0.6514,0.4276494301855564,0.24958502589946702,-0.01970807735312294,0.27468571428571426,0.033136883116883106,0.46738837759427015,0.6949365139007568,0.7196905612945557,0.5668896321070234,0.5191489361702127,0.4363295880149813
modiso__gpt-oss-120b__t01__r02,modiso,gpt-oss-120b,1,2,0.1548,0.3657,0.5774,0.6828,0.4140324734151363,0.26694365519852864,-0.010665548689566644,0.35252857142857147,0.02070220779220781,0.6186116692068713,0.7064940929412842,0.6940270662307739,0.5562218890554723,0.5,0.44274809160305345
modiso__gpt-oss-120b__t01__r03,modiso,gpt-oss-120b,1,3,0.1069,0.3328,0.5535,0.6664,0.49294849932193757,0.24051884277945473,-0.00957477371413987,0.5958238095238094,0.019576883116883118,0.4016128210161313,0.6647321581840515,0.6574592590332031,0.5903225806451613,0.4737827715355805,0.4393414211438475
modiso__gpt-oss-120b__t02__r01,modiso,gpt-oss-120b,2,1,0.0534,0.2996,0.5267,0.6498,0.40839038994163274,0.24837380381567137,-0.027969448965091202,0.38187619047619054,-0.04195558441558441,0.5755426051870423,0.8052356243133545,0.753024697303772,0.5970636215334421,0.5202205882352942,0.4727744165946413
modiso__gpt-oss-120b__t02__r02,modiso,gpt-oss-120b,2,2,-0.0445,0.4009,0.4777,0.7004,0.5115622837096453,0.31540352744715555,-0.01929260038516739,0.5920142857142857,-0.0010818181818181847,0.38886105767596574,0.7066618204116821,0.6603325605392456,0.6097972972972973,0.5482758620689655,0.4786689419795222
modiso__gpt-oss-120b__t02__r03,modiso,gpt-oss-120b,2,3,0.0339,0.3073,0.5169,0.6536,0.47038823217153547,0.3868040783064706,-0.006196717859862694,0.6045380952380953,-0.006377532467532466,0.45005303018347104,0.6125217080116272,0.49909308552742004,0.5755517826825127,0.5340501792114696,0.45510026155187444
modiso__gpt-oss-120b__t03__r01,modiso,gpt-oss-120b,3,1,0.0944,0.3344,0.5472,0.6672,0.5006855050101876,0.44079227195609183,-0.00568256133369037,0.5359952380952381,0.035181168831168834,0.4403234725216392,0.6432579755783081,0.5326231718063354,0.5804878048780487,0.4859154929577465,0.4344885883347422
modiso__gpt-oss-120b__t03__r02,modiso,gpt-oss-120b,3,2,0.0299,0.3784,0.5149,0.6892,0.45936534171923993,0.29891821103436605,-0.021975919178553984,0.4576190476190476,-0.011335844155844156,0.4354350048476948,0.6892804503440857,0.7375640869140625,0.5690515806988353,0.5134168157423972,0.453448275862069
modiso__gpt-oss-120b__t03__r03,modiso,gpt-oss-120b,3,3,-0.0123,0.2948,0.4939,0.6474,0.5016003679484129,0.37475154877063777,-0.02110367240747074,0.3391190476190476,-0.008574935064935086,0.5974485828596448,0.6524144411087036,0.6313415169715881,0.5607613469985359,0.5032362459546925,0.4304381245196003
modiso__gpt-oss-120b__t04__r01,modiso,gpt-oss-120b,4,1,-0.0449,0.432,0.4776,0.716,0.5102754756808281,0.3451252161037354,-0.01645945188190258,0.2993095238095239,-0.012758051948051949,0.46201484299467294,0.6689411997795105,0.6792365908622742,0.5913621262458472,0.5447316103379721,0.465158371040724
