condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
periso__baseline__t00__r01,periso,baseline,0,1,-0.0415,0.5804,0.4792,0.7902,0.6863530278205872,0.5198889218625569,-0.007850491923171218,0.6370142857142858,-0.015608051948051939,0.42624856629918284,0.5166863799095154,0.5228155255317688,0.4701583434835566,0.5171288743882545,0.36401673640167365
periso__baseline__t00__r02,periso,baseline,0,2,0.0011,0.5275,0.5006,0.7638,0.7088889241218567,0.5432593056133815,-0.021496366138582117,0.7615999999999999,0.018011428571428584,0.18919580182596926,0.45584043860435486,0.4841199517250061,0.45044052863436124,0.4750830564784053,0.35165562913907283
periso__baseline__t00__r03,periso,baseline,0,3,-0.0336,0.4827,0.4832,0.7414,0.7039152264595032,0.5926801647458758,-0.005856985395604923,0.5906142857142858,0.017251038961038953,0.45195290661297705,0.4130876064300537,0.5478167533874512,0.438685208596713,0.41318977119784656,0.3226857887874837
periso__baseline__t01__r01,periso,baseline,1,1,0.0888,0.3818,0.5444,0.6909,0.7093945309519768,0.5185064999830156,-0.012279399136057146,0.6805190476190476,0.03759415584415584,0.40764272594778456,0.5160789489746094,0.568755567073822,0.41304347826086957,0.44587628865979384,0.30484848484848487
periso__baseline__t01__r02,periso,baseline,1,2,0.0319,0.4828,0.5159,0.7414,0.6312343567609787,0.4192312742982592,-0.030819962376897984,0.6740380952380952,0.020165974025974028,0.3361598251911765,0.6105002164840698,0.6193748116493225,0.49111675126903553,0.45768025078369906,0.37237026647966337
periso__baseline__t01__r03,periso,baseline,1,3,0.1282,0.4484,0.5641,0.7242,0.656732203066349,0.5272796927463441,-0.014874656924179627,0.5804428571428571,0.03756818181818181,0.4766062531526603,0.5295970439910889,0.5721503496170044,0.44351961950059454,0.44710860366713684,0.3445161290322581
periso__baseline__t02__r01,periso,baseline,2,1,-0.0753,0.5886,0.4624,0.7943,0.6896020665764808,0.39767836531003314,-0.01597395720226424,0.7575857142857143,0.003518051948051949,0.32083835758942586,0.49144604802131653,0.480417937040329,0.4323671497584541,0.4573529411764706,0.33355437665782495
periso__baseline__t02__r02,periso,baseline,2,2,-0.1001,0.6352,0.4499,0.8176,0.7467441380023956,0.49191012552806307,-0.011299607583454671,0.5733285714285714,-0.0018641558441558346,0.41823204329751723,0.45887309312820435,0.41928160190582275,0.41203703703703703,0.46337579617834396,0.3096514745308311
periso__baseline__t02__r03,periso,baseline,2,3,-0.0919,0.5336,0.4541,0.7668,0.7283605486154556,0.4736075642563048,-0.0029478078925764418,0.9055095238095239,-0.002403376623376642,0.09769921238051636,0.4021880030632019,0.39043834805488586,0.4077102803738318,0.43612334801762115,0.3116460637605725
periso__baseline__t03__r01,periso,baseline,3,1,0.0235,0.4106,0.5117,0.7053,0.7615532383322716,0.5180512113230569,-0.019632016257806258,0.9020714285714284,-0.0030654545454545587,0.10602287328621096,0.45749226212501526,0.44129854440689087,0.3873015873015873,0.4462279293739968,0.2965561224489796
periso__baseline__t03__r02,periso,baseline,3,2,0.0165,0.4655,0.5082,0.7328,0.6487811125814915,0.44603205756062553,-0.010247569753752135,0.879,0.0011819480519480606,0.09030013974571265,0.5741025805473328,0.5126199126243591,0.4592875318066158,0.445468509984639,0.336812804453723
periso__baseline__t03__r03,periso,baseline,3,3,0.1076,0.4303,0.5538,0.7151,0.638027511537075,0.4811352413325083,-0.015409065492741465,0.7174999999999999,0.038137402597402593,0.46787496803557005,0.5176202058792114,0.4854263365268707,0.41037735849056606,0.4334828101644245,0.3071852340145023
