condition_id,experiment,group,topic_index,run_index,lyra_gap,cipher_gap,lyra_own,cipher_own,coherence_mean,topic_drift_mean,drift_slope,sentiment_mean,sentiment_slope,sentiment_vol,lyra_sem_div,cipher_sem_div,lyra_ttr,cipher_ttr,global_ttr
crossiso__baseline__t00__r01,crossiso,baseline,0,1,0.0229,0.5375,0.5114,0.7688,0.6884286656975747,0.44387647474095937,-0.019559680931753934,0.8002857142857144,0.01944272727272727,0.20726375027213695,0.5592174530029297,0.53624027967453,0.4028708133971292,0.4072398190045249,0.3079625292740047
crossiso__baseline__t00__r02,crossiso,baseline,0,2,-0.0404,0.5743,0.4798,0.7871,0.6875197291374207,0.4933486910802977,-0.020591233283668374,0.9085523809523809,0.006734155844155849,0.07810335410789022,0.5500195026397705,0.5320363640785217,0.3691215616681455,0.456973293768546,0.29650194336479735
crossiso__baseline__t00__r03,crossiso,baseline,0,3,0.0474,0.494,0.5237,0.747,0.5995353329926729,0.40632749171484084,-0.016683489219708875,0.7944523809523809,0.021493376623376633,0.36805268595296,0.6168157458305359,0.6008182764053345,0.4365482233502538,0.4434250764525994,0.32763880414887125
crossiso__baseline__t01__r01,crossiso,baseline,1,1,0.0545,0.453,0.5273,0.7265,0.6381524726748466,0.5202666815547716,-0.011799166012894026,0.5583380952380953,0.039772077922077924,0.5585256215943225,0.5159627199172974,0.5635425448417664,0.4,0.46771653543307085,0.32115942028985506
crossiso__baseline__t01__r02,crossiso,baseline,1,2,0.0748,0.5055,0.5374,0.7528,0.6209323022514581,0.39926144090436755,-0.0319142085197684,0.48138095238095246,0.02587818181818182,0.47461823015882243,0.6225249767303467,0.6167478561401367,0.4105263157894737,0.48440065681444994,0.3422007255139057
crossiso__baseline__t01__r03,crossiso,baseline,1,3,0.1213,0.4218,0.5607,0.7109,0.690853189677,0.5053687702332225,-0.023966484023379045,0.7137857142857142,0.04243402597402599,0.36821119235687383,0.4929053783416748,0.4996829926967621,0.4183381088825215,0.44321329639889195,0.30977953646127754
crossiso__baseline__t02__r01,crossiso,baseline,2,1,-0.173,0.6977,0.4135,0.8488,0.7290870785713196,0.45350142887660433,-0.01679500233043324,0.8306190476190475,-0.005341688311688314,0.20607343956544003,0.530937135219574,0.5087935328483582,0.39488117001828155,0.45022288261515603,0.30843237125070744
crossiso__baseline__t02__r02,crossiso,baseline,2,2,-0.0578,0.5762,0.4711,0.7881,0.6827911376953125,0.5368710844999268,-0.025664181581565314,0.830552380952381,0.017796753246753255,0.2749584620041078,0.5343391299247742,0.5357774496078491,0.3592321755027422,0.42319277108433734,0.2923777019340159
crossiso__baseline__t02__r03,crossiso,baseline,2,3,-0.0871,0.5913,0.4565,0.7957,0.6591047368943691,0.40227302766981576,-0.01053808232793561,0.7186142857142856,0.016386623376623367,0.3952468888293136,0.4894045293331146,0.5752183794975281,0.4245647969052224,0.47299509001636664,0.34103343465045594
crossiso__baseline__t03__r01,crossiso,baseline,3,1,0.0638,0.507,0.5319,0.7535,0.7061725117266178,0.40826395491049405,-0.031236342476172883,0.8731666666666668,0.009061428571428576,0.11044687295723563,0.5545716881752014,0.537683367729187,0.39282051282051283,0.43103448275862066,0.30440173589584624
crossiso__baseline__t03__r02,crossiso,baseline,3,2,0.1082,0.4388,0.5541,0.7194,0.7526522189378738,0.5808044487521762,-0.01945841610431669,0.934609523809524,0.004447532467532484,0.048189120534291564,0.4022059738636017,0.3640327453613281,0.3782771535580524,0.39880952380952384,0.2908045977011494
crossiso__baseline__t03__r03,crossiso,baseline,3,3,0.1114,0.4234,0.5557,0.7117,0.6815650463104248,0.5409913724731832,-0.020146410293006286,0.6035666666666666,0.042431948051948054,0.519242817162263,0.45901423692703247,0.42024198174476624,0.38240574506283664,0.4011887072808321,0.29043088975937326
crossiso__baseline__t04__r01,crossiso,baseline,4,1,-0.049,0.5362,0.4755,0.7681,0.6487163886427879,0.5564073097138178,-0.012539947923127698,0.8173,0.007929740259740272,0.23073105762419793,0.4318027198314667,0.47996291518211365,0.4298780487804878,0.4772344013490725,0.34369055168040585
crossiso__baseline__t04__r02,crossiso,baseline,4,2,-0.0315,0.4969,0.4843,0.7484,0.6580622583627701,0.47401465688432964,-0.012988569790666768,0.7318142857142858,0.039027012987012985,0.4195858414762668,0.5309239625930786,0.5038734674453735,0.43782117163412126,0.4272300469483568,0.3424317617866005
crossiso__baseline__t04__r03,crossiso,baseline,4,3,-0.1084,0.6252,0.4458,0.8126,0.699516361951828,0.5759661140896025,-0.012957571466247764,0.6641,0.01293376623376622,0.3788683437617372,0.4612465500831604,0.47758352756500244,0.39516908212560387,0.41509433962264153,0.30939557151406344
crossiso__baseline__t05__r01,crossiso,baseline,5,1,-0.0124,0.4622,0.4938,0.7311,0.6538326174020768,0.6102037734928585,-0.01135805208574642,0.6771904761904762,0.008359350649350658,0.3083244748865373,0.34830138087272644,0.5291192531585693,0.394589552238806,0.42450142450142453,0.3134160090191657
crossiso__baseline__t05__r02,crossiso,baseline,5,2,-0.0102,0.6246,0.4949,0.8123,0.755283872038126,0.6282764742416995,-0.015143368780225906,0.623942857142857,0.03032000000000001,0.45981819551336817,0.3691049814224243,0.36407122015953064,0.37488284910965325,0.4399441340782123,0.3011777902411666
crossiso__baseline__t05__r03,crossiso,baseline,5,3,-0.0034,0.5274,0.4983,0.7637,0.6678942173719407,0.5518069650445666,-0.021121819317340845,0.5240333333333334,0.0198587012987013,0.4516904506125884,0.4699404537677765,0.5395467281341553,0.41825095057034223,0.4771986970684039,0.3445378151260504
crossiso__baseline__t06__r01,crossiso,baseline,6,1,0.0901,0.4318,0.5451,0.7159,0.6660700134932995,0.5266413525456474,-0.028334018858996314,0.6642285714285713,0.025172207792207794,0.40343490552156897,0.5665566325187683,0.5721363425254822,0.3986615678776291,0.46579804560260585,0.3325301204819277
crossiso__baseline__t06__r02,crossiso,baseline,6,2,0.1529,0.4115,0.5765,0.7058,0.7080911796540021,0.6223128494762239,-0.02401619329080953,0.6127761904761906,0.03636649350649353,0.46833088618722996,0.4367374777793884,0.4728800058364868,0.37604456824512533,0.41798107255520506,0.2998246639392168
crossiso__baseline__t06__r03,crossiso,baseline,6,3,0.0846,0.4912,0.5423,0.7456,0.6979844838380813,0.6316749027797154,-0.007046404751864353,0.7995714285714286,0.010422857142857147,0.1912914508901887,0.4158981740474701,0.46473944187164307,0.41216216216216217,0.4794520547945205,0.3351851851851852
crossiso__baseline__t07__r01,crossiso,baseline,7,1,0.0211,0.4841,0.5105,0.742,0.6383703056722879,0.34520981052801725,-0.027351893344289304,0.6711095238095238,0.013718051948051948,0.4145577447338559,0.5933107733726501,0.635899007320404,0.3844765342960289,0.474025974025974,0.33178654292343385
crossiso__baseline__t07__r02,crossiso,baseline,7,2,-0.0333,0.526,0.4834,0.763,0.649544295668602,0.47870320081710815,-0.011729985707766061,0.48994761904761913,-0.0008241558441558457,0.4672256614151317,0.4661979079246521,0.5980481505393982,0.4162812210915819,0.4914196567862715,0.351335656213705
crossiso__baseline__t07__r03,crossiso,baseline,7,3,0.0223,0.523,0.5112,0.7615,0.6565581865608692,0.4770643021024409,-0.014917365500292202,0.8437238095238095,0.009137792207792218,0.1672406817242227,0.5583114624023438,0.5887818932533264,0.4200626959247649,0.4848993288590604,0.3374114616870573
crossiso__cipher-persona__t00__r01,crossiso,cipher-persona,0,1,-0.48,0.5298,0.26,0.7649,0.6745947316288948,0.539089220620337,-0.008155897201655755,0.7334333333333333,0.014991948051948048,0.28361157598332626,0.5389597415924072,0.502598226070404,0.40831556503198296,0.43731778425655976,0.3103448275862069
crossiso__cipher-persona__t00__r02,crossiso,cipher-persona,0,2,-0.4643,0.5451,0.2679,0.7726,0.6227891057729721,0.43798356964474633,-0.02769137889920892,0.7113809523809523,0.009100129870129862,0.24074987537760234,0.6116328835487366,0.6583951115608215,0.4143337066069429,0.44,0.3182674199623352
crossiso__cipher-persona__t00__r03,crossiso,cipher-persona,0,3,-0.4965,0.556,0.2518,0.778,0.5715725846588612,0.39404367265247164,-0.020394354516809644,0.6671238095238095,0.028894155844155864,0.439463501821376,0.6540468335151672,0.6470828056335449,0.45552884615384615,0.518578352180937,0.3694004135079256
crossiso__cipher-persona__t01__r01,crossiso,cipher-persona,1,1,-0.4111,0.4332,0.2944,0.7166,0.6408619374036789,0.3655066979782922,-0.025991214618280342,0.6476857142857143,0.03810480519480519,0.2965505566561311,0.6366047263145447,0.6461228132247925,0.42409638554216866,0.452914798206278,0.3202134756504336
crossiso__cipher-persona__t01__r02,crossiso,cipher-persona,1,2,-0.3648,0.4424,0.3176,0.7212,0.6695000000298024,0.5041653897081103,-0.02069784878910362,0.29047142857142855,0.07391363636363636,0.6176850562442667,0.6123279929161072,0.5422748327255249,0.404786680541103,0.43012211668928085,0.3127208480565371
